Plot,Year,Subplot,Species,Cover,avg.sub.100p,dens.est,n.seed.ind,Treat.Code
56,2017,G,Lolium multiflorum,0.0075,407.2,3.054,6.2,C
56,2017,T,Bromus hordeaceus,5.00E-04,444,0.222,3,C
56,2017,T,Lolium multiflorum,0.005,407.2,2.036,8.2,C
59,2017,G,Bromus hordeaceus,0.001,444,0.444,2.2,W
59,2017,G,Lolium multiflorum,0.009,407.2,3.6648,11,W
59,2017,T,Bromus hordeaceus,0.001,444,0.444,5,W
59,2017,T,Lolium multiflorum,0.0025,407.2,1.018,15.2,W
59,2016,G,Lolium multiflorum,1,407.2,407.2,26.4,W
81,2016,G,Avena fatua,1,267.2,267.2,7.4,D
81,2016,G,Lolium multiflorum,NA,NA,NA,16.6,D
82,2017,G,Taeniatherum caput-medusae,0.0015,394.4,0.5916,10.5,C
82,2017,G,Avena fatua,0.001,267.2,0.2672,15.3,C
82,2017,G,Bromus hordeaceus,0.001,444,0.444,5,C
82,2017,G,Lolium multiflorum,0.001,407.2,0.4072,8.8,C
82,2016,G,Lolium multiflorum,1,407.2,407.2,28.2,C
82,2017,T,Lolium multiflorum,0.008,407.2,3.2576,13.4,C
83,2016,G,Avena fatua,1,267.2,267.2,15,D
83,2016,G,Lolium multiflorum,NA,NA,NA,32.6,D
84,2016,G,Lolium multiflorum,0.75,407.2,305.4,34,C
84,2017,G,Lolium multiflorum,0.004,407.2,1.6288,7.2,C
84,2017,T,Avena fatua,0.001,267.2,0.2672,NA,C
84,2016,G,Avena fatua,0.25,267.2,66.8,15.2,C
84,2017,G,Avena fatua,0.001,267.2,0.2672,4,C
84,2017,T,Bromus hordeaceus,5.00E-04,444,0.222,3.4,C
84,2017,T,Lolium multiflorum,0.0075,407.2,3.054,5.6,C
86,2017,G,Lolium multiflorum,0.004,407.2,1.6288,NA,C
86,2017,T,Lolium multiflorum,0.003,407.2,1.2216,NA,C
86,2017,T,Bromus hordeaceus,0.0015,444,0.666,6.8,C
89,2016,G,Bromus hordeaceus,0.25,444,111,NA,D
89,2016,G,Lolium multiflorum,0.63,407.2,256.536,38.6,D
89,2016,G,Vulpia microstachys,0.13,437.6,56.888,NA,D
91,2016,G,Lolium multiflorum,NA,NA,NA,21.2,D
91,2016,G,Bromus hordeaceus,NA,NA,NA,10.6,D
92,2017,G,Bromus hordeaceus,0.009,444,3.996,5,C
92,2017,G,Lolium multiflorum,0.001,407.2,0.4072,5.4,C
92,2017,T,Bromus hordeaceus,0.006,444,2.664,4.4,C
92,2017,T,Lolium multiflorum,0.002,407.2,0.8144,8.8,C
92,2016,G,Bromus hordeaceus,0.5,444,222,8,C
92,2016,G,Lolium multiflorum,0.5,407.2,203.6,22.4,C
93,2016,G,Lolium multiflorum,0.25,407.2,101.8,16.8,D
93,2016,G,Taeniatherum caput-medusae,0.75,394.4,295.8,10.88,D
95,2016,G,Lolium multiflorum,1,407.2,407.2,22.4,D
95,2016,G,Taeniatherum caput-medusae,NA,NA,NA,21.6,D
96,2016,G,Lolium multiflorum,0.88,407.2,358.336,16,C
96,2016,G,Taeniatherum caput-medusae,0.13,394.4,51.272,15.6,C
96,2017,G,Lolium multiflorum,0.0025,407.2,1.018,7.4,C
96,2017,T,Lolium multiflorum,0.008,407.2,3.2576,6.2,C
97,2016,G,Lolium multiflorum,1,407.2,407.2,15.8,D
97,2016,G,Taeniatherum caput-medusae,NA,NA,NA,8.8,D
98,2017,G,Lolium multiflorum,0.005,407.2,2.036,8.2,C
98,2017,G,Taeniatherum caput-medusae,0.0015,394.4,0.5916,2,C
98,2017,T,Lolium multiflorum,0.002,407.2,0.8144,6.3,C
98,2016,G,Taeniatherum caput-medusae,0.25,394.4,98.6,5.8,C
98,2017,G,Bromus hordeaceus,0.0015,444,0.666,8.6,C
98,2017,T,Bromus hordeaceus,0.001,444,0.444,11.4,C
98,2016,G,Lolium multiflorum,0.75,407.2,305.4,14.2,C
99,2016,G,Avena fatua,0.5,267.2,133.6,8,D
99,2016,G,Lolium multiflorum,0.5,407.2,203.6,16.8,D
